"Activity","StartWeek","StartDay","StartDate","StartTime","EndDay","EndDate","EndTime","Duration","StaffMember","Room","StudentSets","Department","Size"
"eng","39","Wed","2018-09-26","10:15","Wed","2018-09-26","10:45","0:30","YWI","B114 (0)","1GA2","","0"
"gamedes","39","Wed","2018-09-26","10:15","Wed","2018-09-26","10:45","0:30","ATE","A224 (0)","3GD1","","0"
"gamedes","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:15","1:00","JWO","A223 (0)","1GD1","","0"
"2d","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:45","1:30","LEN","B115 (0)","1GA1","","0"
"ond","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:45","1:30","JVO","B214 (0)","2GV7","","0"
"rek","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:45","1:30","HAL","B116 (0)","3GA2","","0"
"project","39","Wed","2018-09-26","10:15","Wed","2018-09-26","12:45","2:30","CSP","A128 (0)","2GA1","","0"
"project","39","Wed","2018-09-26","10:15","Wed","2018-09-26","12:45","2:30","MJA","A129 (0)","2GA2","","0"
"project","39","Wed","2018-09-26","10:15","Wed","2018-09-26","12:45","2:30","RBA, XGVAC2","A127 (0)","2GD1","","0"
"project","39","Wed","2018-09-26","10:15","Wed","2018-09-26","12:45","2:30","BHN, XGVAC2","A130 (0)","2GD2","","0"
"eng","39","Wed","2018-09-26","10:45","Wed","2018-09-26","11:45","1:00","WHO","A115 (0)","1K2","","0"
"rek","39","Wed","2018-09-26","10:45","Wed","2018-09-26","11:45","1:00","RDK","B218 (0)","3GV6","","0"
"eng","39","Wed","2018-09-26","10:45","Wed","2018-09-26","12:15","1:30","HBE","A224 (0)","3GD1","","0"
"k0072","39","Wed","2018-09-26","10:45","Wed","2018-09-26","12:45","2:00","SLO","A225 (0)","1GA2","","0"
"eng","39","Wed","2018-09-26","11:15","Wed","2018-09-26","12:45","1:30","YWI","B114 (0)","1GD1","","0"
"gamedes","39","Wed","2018-09-26","11:45","Wed","2018-09-26","12:45","1:00","JWO","B115 (0)","1GD2","","0"
